Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTLO54;01;OP1A001;2025-10-08;20:00;0543620;VANDOEUVRE 1;0542783;NANCY VOLLEY 2; 3/1;24-26,25-20,25-12,25-16;99-74;GYM B - NATIONS;;;
PTLO54;01;OP1A002;2025-10-06;20:30;0548310;SEICHAMPS 1;0549584;GRAND NANCY 2; 3/1;22-25,25-20,25-19,25-21;97-85;MARTINCHAMPS;;;
PTLO54;01;OP1A003;2025-11-13;20:00;0548759;TOUL VALCOURT 1;0545068;VILLERS 1; 3/1;25-13,18-25,25-13,25-17;93-68;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;01;OP1A004;2025-10-09;20:00;0549584;GRAND NANCY 1;0542772;FLAVIGNY; 2/3;25-16,25-20,18-25,15-25,10-15;93-101;GYMNASE LA FONTAINE;;;
PTLO54;01;OP1A005;2025-10-10;20:00;0542783;NANCY VOLLEY 1;0543620;VANDOEUVRE 2; 3/1;25-17,19-25,25-19,25-21;94-82;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;02;OP1A006;2025-10-30;20:00;0542783;NANCY VOLLEY 1;0542783;NANCY VOLLEY 2; 3/0;25-14,25-22,25-16;75-52;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;02;OP1A007;2025-10-15;20:00;0543620;VANDOEUVRE 2;0549584;GRAND NANCY 1; 1/3;21-25,25-18,15-25,23-25;84-93;GYM B - NATIONS;;;
PTLO54;02;OP1A008;2025-10-14;20:00;0542772;FLAVIGNY;0548759;TOUL VALCOURT 1; 3/2;25-21,21-25,22-25,27-25,15-13;110-109;GYMNASE PAUL VERLAINE;;;
PTLO54;02;OP1A009;2025-10-15;20:00;0545068;VILLERS 1;0548310;SEICHAMPS 1; 2/3;25-12,16-25,9-25,25-21,8-15;83-98;GYMNASE CHEPFER;;;
PTLO54;02;OP1A010;2025-10-16;20:00;0549584;GRAND NANCY 2;0543620;VANDOEUVRE 1; 0/3;21-25,13-25,13-25;47-75;GYMNASE LA FONTAINE;;;
PTLO54;03;OP1A011;2025-11-07;20:00;0542783;NANCY VOLLEY 2;0549584;GRAND NANCY 2; 3/0;25-19,25-18,28-26;78-63;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;03;OP1A012;2025-11-05;20:00;0543620;VANDOEUVRE 1;0545068;VILLERS 1; 3/0;25-16,25-18,25-14;75-48;GYM B - NATIONS;COURBET ROMAIN;;
PTLO54;03;OP1A013;2025-11-03;20:30;0548310;SEICHAMPS 1;0542772;FLAVIGNY; 1/3;33-31,14-25,14-25,16-25;77-106;MARTINCHAMPS;;;
PTLO54;03;OP1A014;2025-11-06;20:00;0548759;TOUL VALCOURT 1;0543620;VANDOEUVRE 2; 3/1;25-20,25-14,23-25,25-14;98-73;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;03;OP1A015;2025-11-06;20:00;0549584;GRAND NANCY 1;0542783;NANCY VOLLEY 1; 3/0;25-22,25-17,25-16;75-55;GYMNASE LA FONTAINE;;;
PTLO54;04;OP1A016;2025-11-20;20:00;0549584;GRAND NANCY 1;0542783;NANCY VOLLEY 2; 3/0;25-14,25-22,25-14;75-50;GYMNASE LA FONTAINE;;;
PTLO54;04;OP1A017;2025-11-21;20:00;0542783;NANCY VOLLEY 1;0548759;TOUL VALCOURT 1; 1/3;22-25,25-21,18-25,16-25;81-96;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;04;OP1A018;2025-11-19;20:00;0543620;VANDOEUVRE 2;0548310;SEICHAMPS 1; 0/3;23-25,22-25,20-25;65-75;GYM B - NATIONS;THOUVENIN NICOLAS;;
PTLO54;04;OP1A019;2025-11-18;20:00;0542772;FLAVIGNY;0543620;VANDOEUVRE 1; 1/3;25-21,21-25,23-25,23-25;92-96;GYMNASE PAUL VERLAINE;;;
PTLO54;04;OP1A020;2025-11-19;20:00;0545068;VILLERS 1;0549584;GRAND NANCY 2; 3/0;25-22,27-25,25-22;77-69;GYMNASE CHEPFER;;;
PTLO54;05;OP1A021;2025-11-28;20:00;0542783;NANCY VOLLEY 2;0545068;VILLERS 1; 3/0;25-17,25-20,25-18;75-55;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;05;OP1A022;2025-11-27;20:00;0549584;GRAND NANCY 2;0542772;FLAVIGNY; 0/3;18-25,18-25,10-25;46-75;GYMNASE LA FONTAINE;;;
PTLO54;05;OP1A023;2025-12-03;20:00;0543620;VANDOEUVRE 1;0543620;VANDOEUVRE 2; 3/0;25-13,25-16,25-16;75-45;GYM B - NATIONS;GFELLER MARIAN;;
PTLO54;05;OP1A024;2025-11-24;20:30;0548310;SEICHAMPS 1;0542783;NANCY VOLLEY 1; 3/2;27-25,11-25,18-25,25-16,15-6;96-97;MARTINCHAMPS;;;
PTLO54;05;OP1A025;2025-11-27;20:00;0548759;TOUL VALCOURT 1;0549584;GRAND NANCY 1; 0/3;18-25,22-25,12-25;52-75;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;06;OP1A026;2025-12-11;20:00;0548759;TOUL VALCOURT 1;0542783;NANCY VOLLEY 2; 3/0;25-12,25-18,25-16;75-46;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;06;OP1A027;2026-04-09;20:00;0549584;GRAND NANCY 1;0548310;SEICHAMPS 1; 3/0;25-20,25-15,25-14;75-49;GYMNASE LA FONTAINE;;;
PTLO54;06;OP1A028;2025-12-12;20:00;0542783;NANCY VOLLEY 1;0543620;VANDOEUVRE 1; 0/3;22-25,21-25,21-25;64-75;SALLE PHILIPPE DE GUELDRES;;;
