Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILO;01;RMAA001;2025-10-04;20:30;0523906;CHAUMONT C;;xxxxx;;;;SALLE JEAN MASSON;;;
LILO;01;RMAA002;2025-10-04;20:30;0884751;GERARDMER;0545520;FROUARD/POMPEY A; 3/0;25-19,25-17,25-12;75-48;HALLE DES SPORTS;ROTH HARENZA THOMAS;;
LILO;01;RMAA003;2025-10-07;20:30;0542783;GRAND NANCY E;0542783;GRAND NANCY F; 3/1;25-21,20-25,25-17,25-23;95-86;PHILIPPE DE GUELDRES;PAJO STELA;;
LILO;01;RMAA004;2025-10-04;20:30;0545520;FROUARD/POMPEY B;0102303;TROYES; 3/0;25-16,25-14,25-10;75-40;SALLE DU SIC;BARBE ANNE;;
LILO;01;RMAA005;2025-10-04;20:30;0886034;REMIREMONT;0885362;EPINAL/GOLBEY C; 3/0;25-16,25-16,25-14;75-46;GYMNASE CHARLET;DURAND GÉRARD;;
LILO;02;RMAA006;2025-10-11;20:30;0886034;REMIREMONT;;xxxxx;;;;GYMNASE CHARLET;;;
LILO;02;RMAA007;2025-10-11;19:00;0885362;EPINAL/GOLBEY C;0545520;FROUARD/POMPEY B; 3/1;25-19,25-19,24-26,25-23;99-87;JULES FERRY;COLNAT CÉDRIC;;
LILO;02;RMAA008;2025-10-11;19:00;0102303;TROYES;0542783;GRAND NANCY E; 0/3;21-25,15-25,18-25;54-75;COSEC 2 ANDRE PERE;PRAUCA MARIAM;;
LILO;02;RMAA009;2025-10-11;20:30;0542783;GRAND NANCY F;0884751;GERARDMER; 0/3;21-25,23-25,12-25;56-75;PHILIPPE DE GUELDRES;PAJO STELA;;
LILO;02;RMAA010;2025-10-11;20:30;0545520;FROUARD/POMPEY A;0523906;CHAUMONT C; 0/3;17-25,19-25,12-25;48-75;SALLE DU SIC;TSAGOURIS DIMITRI;;
LILO;03;RMAA011;2025-11-08;20:30;;xxxxx;0545520;FROUARD/POMPEY A;;;;;;;
LILO;03;RMAA012;2025-11-08;20:30;0523906;CHAUMONT C;0542783;GRAND NANCY F; 3/1;27-29,25-13,25-15,25-23;102-80;SALLE JEAN MASSON;PREAU NICOLAS;;
LILO;03;RMAA013;2025-11-08;20:30;0884751;GERARDMER;0102303;TROYES; 3/0;25-10,25-17,25-12;75-39;HALLE DES SPORTS;SIMON REMY;;
LILO;03;RMAA014;2025-11-08;20:30;0542783;GRAND NANCY E;0885362;EPINAL/GOLBEY C; 3/1;25-17,22-25,25-22,25-17;97-81;GYMNASE ALFRED MEZIERES;BARBE ANNE;;
LILO;03;RMAA015;2025-11-09;14:00;0545520;FROUARD/POMPEY B;0886034;REMIREMONT; 0/3;24-26,18-25,23-25;65-76;SALLE DU SIC;MAHMOUD ABDALLAH;;
LILO;04;RMAA016;2025-11-15;20:30;0545520;FROUARD/POMPEY B;;xxxxx;;;;SALLE DU SIC;;;
LILO;04;RMAA017;2025-11-15;20:30;0886034;REMIREMONT;0542783;GRAND NANCY E; 3/0;25-18,25-17,25-18;75-53;GYMNASE CHARLET;WEBER MICHEL;;
LILO;04;RMAA018;2025-11-16;16:00;0885362;EPINAL/GOLBEY C;0884751;GERARDMER; 0/3;16-25,18-25,23-25;57-75;GYMNASE VIVIANI;SIMON REMY;;
LILO;04;RMAA019;2025-11-15;20:00;0102303;TROYES;0523906;CHAUMONT C; 0/3;12-25,11-25,17-25;40-75;COSEC 2 ANDRE PERE;PRAUCA MARIAM;;
LILO;04;RMAA020;2025-11-15;20:30;0542783;GRAND NANCY F;0545520;FROUARD/POMPEY A; 3/2;25-19,25-19,23-25,18-25,15-12;106-100;PHILIPPE DE GUELDRES;LUCE CHARLES;;
LILO;05;RMAA021;2025-11-22;20:30;;xxxxx;0542783;GRAND NANCY F;;;;;;;
LILO;05;RMAA022;2025-11-22;20:30;0545520;FROUARD/POMPEY A;0102303;TROYES; 3/1;25-22,25-14,16-25,25-23;91-84;SALLE DU SIC;TSAGOURIS DIMITRI;;
LILO;05;RMAA023;2025-11-22;20:30;0885362;EPINAL/GOLBEY C;0523906;CHAUMONT C; 3/2;15-25,25-22,22-25,25-22,16-14;103-108;GYMNASE LAPICQUE;WEBER MICHEL;;
LILO;05;RMAA024;2025-11-22;20:30;0884751;GERARDMER;0886034;REMIREMONT; 0/3;20-25,19-25,23-25;62-75;HALLE DES SPORTS;COLNAT CÉDRIC;;
